YOYI, ORANGE, TPU, 1.76 pounds, 1.75 millimeters millimeters, https://www.amazon.com/YOYI-Flexible-Filament-Tolerance-Orange/dp/B07F1V57BK/ref=sr_1_124?dchild=1&keywords=orange+filament&qid=1593571050&s=industrial&sr=1-124
YOYI, ORANGE, TPU, 1.76 pounds, 1.75 millimeters millimeters, https://www.amazon.com/YOYI-Flexible-Filament-Tolerance-Orange/dp/B07F1V57BK/ref=sr_1_124?dchild=1&keywords=orange+filament&qid=1593571050&s=industrial&sr=1-124
FASTTOBUY, [     ], ALUMINUM, 2.20 pounds, 1.75 millimeters millimeters, https://www.amazon.com/1-75mm-Orange-Printer-Filament-2-2lbs/dp/B085VL74D5/ref=sr_1_125?dchild=1&keywords=orange+filament&qid=1593571050&s=industrial&sr=1-125
[     ], [     ], [     ], [     ], [     ], https://www.amazon.com/Mwave3D-MBFP001-Orange-Filament-1-75mm-Orange/dp/B00LWH8M00/ref=sr_1_127?dchild=1&keywords=orange+filament&qid=1593571050&s=industrial&sr=1-127
RepRapper, ORANGE, FLEX, 2.20 pounds, 1.75 millimeters millimeters, https://www.amazon.com/REPRAPPER-Orange-Printing-Filament-1-75mm/dp/B07Y4VRX1M/ref=sr_1_128?dchild=1&keywords=orange+filament&qid=1593571050&s=industrial&sr=1-128
RepRapper, ORANGE, FLEX, 2.20 pounds, 1.75 millimeters millimeters, https://www.amazon.com/REPRAPPER-Orange-Printing-Filament-1-75mm/dp/B07Y4VRX1M/ref=sr_1_128?dchild=1&keywords=orange+filament&qid=1593571050&s=industrial&sr=1-128
ZORTRAX, ORANGE, ABS (ACRYLONITRILE BUTADIENE STYRENE), 2.20 pounds, 1.75 millimeters, https://www.amazon.com/Z-ABS-Printing-Filament-Orange-1-75mm/dp/B00QT8HCMG/ref=sr_1_129?dchild=1&keywords=orange+filament&qid=1593571050&s=industrial&sr=1-129
SleekLighting, ORANGE, GLASS, 4.8 ounces, [     ], https://www.amazon.com/SleekLighting-Filament-Orange-Colored-Dimmable/dp/B07PWYFNZ2/ref=sr_1_130?dchild=1&keywords=orange+filament&qid=1593571050&s=industrial&sr=1-130
INLAND, GREEN, PLA, 2.20 pounds , 2.20 pounds, 2.85 millimeters, https://www.amazon.com/Inland-1-75mm-Orange-Printer-Filament/dp/B00YQBGMBU/ref=sr_1_142?dchild=1&keywords=orange+filament&qid=1593571050&s=industrial&sr=1-142
Polymaker, ORANGE, TPU(THERMOPLASTIC POLYURETHANES), 1.65 pounds, 3.00 millimeters, https://www.amazon.com/PolyFlex-1-75-mm-750g-Orange/dp/B00YSYFKEK/ref=sr_1_147?dchild=1&keywords=orange+filament&qid=1593571051&s=industrial&sr=1-147
RepRapper, ORANGE, PLA, 1.10 pounds, 1.75 millimeters millimeters, https://www.amazon.com/REPRAPPER-Orange-Printing-Filament-1-75mm/dp/B07Y51H21V/ref=sr_1_151?dchild=1&keywords=orange+filament&qid=1593571051&s=industrial&sr=1-151
IC3D Printers, BEIGE, ABS, 2.2 pounds, [     ], https://www.amazon.com/IC3D-Orange-1-75mm-Printer-Filament/dp/B00DVOVI5I/ref=sr_1_155?dchild=1&keywords=orange+filament&qid=1593571051&s=industrial&sr=1-155
TOPZEAL, TRANSPARENT, PLA, 2.20 pounds, 1.75 millimeters millimeters, https://www.amazon.com/TOPZEAL-Filament-Transparent-Dimensional-Transparent-Orange/dp/B07VBB9HHM/ref=sr_1_156?dchild=1&keywords=orange+filament&qid=1593571051&s=industrial&sr=1-156
Sindoh, [     ], [     ], [     ], [     ], https://www.amazon.com/Sindoh-3DWOX-Flexible-Orange-Filament/dp/B07898BBCQ/ref=sr_1_163?dchild=1&keywords=orange+filament&qid=1593571051&s=industrial&sr=1-163
HZST3D, SHINY ORANGE, PLA, 2.20 pounds, 1.75 millimeters millimeters, https://www.amazon.com/Orange-Filament-Printer-Printing-Materials/dp/B07TW59T5V/ref=sr_1_165?dchild=1&keywords=orange+filament&qid=1593571051&s=industrial&sr=1-165
RepRapper, ORANGE, PETG, 2.20 pounds, 1.75 millimeters millimeters, https://www.amazon.com/REPRAPPER-Orange-Printing-Filament-1-75mm/dp/B07Y4ZMYS2/ref=sr_1_171?dchild=1&keywords=orange+filament&qid=1593571052&s=industrial&sr=1-171
RepRapper, ORANGE, PETG, 2.20 pounds, 1.75 millimeters millimeters, https://www.amazon.com/REPRAPPER-Orange-Printing-Filament-1-75mm/dp/B07Y4ZMYS2/ref=sr_1_171?dchild=1&keywords=orange+filament&qid=1593571052&s=industrial&sr=1-171
Enotepad, PLA 1.75MM ORANGE, PLA, 2.20 pounds, 1.75 millimeters millimeters, https://www.amazon.com/Printer-Filament-Orange-Dimensional-Accuracy/dp/B07CZ6QHBP/ref=sr_1_172?dchild=1&keywords=orange+filament&qid=1593571052&s=industrial&sr=1-172
Anycubic, WHITE, PETG, 1.10 pounds, 1.75 millimeters millimeters, https://www.amazon.com/Anycubic-Filament-Dimensional-Accuracy-Trans-Orange/dp/B07QKS61JH/ref=sr_1_175?dchild=1&keywords=orange+filament&qid=1593571052&s=industrial&sr=1-175
