Flashforge USA, ORANGE, PLA, 1.10 pounds, 1.75 millimeters, https://www.amazon.com/Flashforge-USA-PLA-Filament-1-75/dp/B07NS6DY4M/ref=sr_1_120?dchild=1&keywords=orange+filament&qid=1593651240&s=industrial&sr=1-120
3D Solutech, ORANGE, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/3D-Solutech-3DSPLA175ORW-Filament-Dimensional/dp/B077L2HZJN/ref=sr_1_123?dchild=1&keywords=orange+filament&qid=1593651240&s=industrial&sr=1-123
HATCHBOX, ORANGE, TPU, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/HATCHBOX-Printer-Filament-Dimensional-Accuracy/dp/B07NY9XGG9/ref=sr_1_124?dchild=1&keywords=orange+filament&qid=1593651240&s=industrial&sr=1-124
CC3D ZHUOPU, ORANGE TO YELLOW, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/Changing-Temperature-Filament-CC3D-ZHUOPU/dp/B07QYRN4RG/ref=sr_1_125?dchild=1&keywords=orange+filament&qid=1593651241&s=industrial&sr=1-125
Gizmo Dorks, ORANGE, PLA, 2.20 pounds, 3.00 millimeters, https://www.amazon.com/Gizmo-Dorks-Filament-Printers-Fluorescent/dp/B00ITZQ7YG/ref=sr_1_126?dchild=1&keywords=orange+filament&qid=1593651241&s=industrial&sr=1-126
NinjaTek, LAVA (ORANGE), TPE (THERMOPLASTIC ELASTOMER), 2.20 pounds, 1.75 millimeters, https://www.amazon.com/NinjaTek-3DCH05117510-Cheetah-Filament-1-75mm/dp/B078JK5K6V/ref=sr_1_130?dchild=1&keywords=orange+filament&qid=1593651241&s=industrial&sr=1-130
Philips Lighting, ORANGE, GLASS, 1.35 pounds, [     ], https://www.amazon.com/Philips-LED-538215-Party-Bulbs/dp/B07JD3KPNV/ref=sr_1_132?dchild=1&keywords=orange+filament&qid=1593651241&s=industrial&sr=1-132
Paramount 3D, ORANGE, ABS, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/Paramount-3D-McLaren-Filament-ORL20112019A/dp/B06Y6HCS8F/ref=sr_1_133?dchild=1&keywords=orange+filament&qid=1593651241&s=industrial&sr=1-133
SleekLighting, ORANGE, GLASS, 4.8 ounces, [     ], https://www.amazon.com/SleekLighting-Filament-Orange-Colored-Dimmable/dp/B07PWYFNZ2/ref=sr_1_137?dchild=1&keywords=orange+filament&qid=1593651241&s=industrial&sr=1-137
NinjaTek, LAVA (ORANGE), TPE (THERMOPLASTIC ELASTOMER), 1.10 pounds, 1.75 millimeters, https://www.amazon.com/NinjaTek-3DAR05117505-Armadillo-Filament-TPE-5kg/dp/B078JLXLW7/ref=sr_1_139?dchild=1&keywords=orange+filament&qid=1593651241&s=industrial&sr=1-139
