[     ], [     ], [     ], [     ], [     ], https://www.amazon.com/MakerBot-Filament-Diameter-Spool-Orange/dp/B00IUHLYFK/ref=sr_1_173?dchild=1&keywords=orange+filament&qid=1593651243&s=industrial&sr=1-173
ColorCubed, [     ], PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/ColorCubed-Premium-Printer-Filament-Translucent/dp/B075WXNLD1/ref=sr_1_174?dchild=1&keywords=orange+filament&qid=1593651243&s=industrial&sr=1-174
Suppy3D, RED, PLA, 2.80 pounds, 1.75 millimeters, https://www.amazon.com/SUPPLY3D-Filament-PLA-Plus-1-75mm/dp/B07RZ2VDFB/ref=sr_1_176?dchild=1&keywords=orange+filament&qid=1593651243&s=industrial&sr=1-176
Dry & Dry, [     ], [     ], 2.01 pounds, [     ], https://www.amazon.com/Dry-Desiccant-Indicating-Industry-Standard/dp/B01I5Y2DG6/ref=sr_1_178?dchild=1&keywords=orange+filament&qid=1593651243&s=industrial&sr=1-178
Hyperion, [     ], [     ], 1.1 pounds, [     ], https://www.amazon.com/Hyperion-Printer-Filament-1-75mm-Orange/dp/B074L165K3/ref=sr_1_182?dchild=1&keywords=orange+filament&qid=1593651243&s=industrial&sr=1-182
Monoprice, [     ], PLA, 2.91 ounces, 1.75 millimeters, https://www.amazon.com/Monoprice-Hi-Gloss-Printer-Filament-1-75mm/dp/B07NQWTKBG/ref=sr_1_185?dchild=1&keywords=orange+filament&qid=1593651243&s=industrial&sr=1-185
Suchinm, [     ], [     ], 3.00 pounds, [     ], https://www.amazon.com/Printer-Filament-1-75mm-Printing-Consumables/dp/B089Q8NBK7/ref=sr_1_186?dchild=1&keywords=orange+filament&qid=1593651243&s=industrial&sr=1-186
HATCHBOX, [     ], PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/HATCHBOX-3D-Filament-Dimensional-Transparent/dp/B00ZB48M8C/ref=sr_1_188?dchild=1&keywords=orange+filament&qid=1593651243&s=industrial&sr=1-188
SPIDER MAKER, IRON GRAY, PLA, 1.54 pounds, 1.75 millimeters, https://www.amazon.com/SpiderMaker-Printer-PLA-Filament-Incredible/dp/B07NYPH4LS/ref=sr_1_189?dchild=1&keywords=orange+filament&qid=1593651243&s=industrial&sr=1-189
Suppy3D, GRAY, PLA PLUS, 2.80 pounds, 1.75 millimeters, https://www.amazon.com/PLA-Printer-Filament-Dimensional-Accuracy/dp/B07RGZ1XWZ/ref=sr_1_191?dchild=1&keywords=orange+filament&qid=1593651243&s=industrial&sr=1-191
Wintergreen Lighting, [     ], [     ], [     ], [     ], https://www.amazon.com/Christmas-Edison-Vintage-Lights-Filament/dp/B07HQRF84R/ref=sr_1_194?dchild=1&keywords=orange+filament&qid=1593651243&s=industrial&sr=1-194
Fillamentum, [     ], [     ], [     ], 1.75 millimeters, https://www.amazon.com/Fillamentum-Extrafill-Filament-Diameter-Tolerance/dp/B07KGJ6W7P/ref=sr_1_196?dchild=1&keywords=orange+filament&qid=1593651243&s=industrial&sr=1-196
[     ], [     ], [     ], [     ], [     ], https://www.amazon.com/s?k=orange+filament&i=industrial&rh=n%3A16310091&page=9&qid=1593651267&ref=sr_hi_1
HATCHBOX, BLACK, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/HATCHBOX-3D-Filament-Dimensional-Accuracy/dp/B00J0ECR5I/ref=sr_1_195?dchild=1&keywords=orange+filament&qid=1593651244&s=industrial&sr=1-195
NovaMaker, BLUE, PETG (POLYETHYLENE TEREPHTALATE GLYCOL-MODIFIED), 2.20 pounds, 1.75 millimeters, https://www.amazon.com/NOVAMAKER-3D-Printer-Filament-Dimensional/dp/B0746F9C52/ref=sr_1_202?dchild=1&keywords=orange+filament&qid=1593651244&s=industrial&sr=1-202
Casabella, [     ], [     ], 1.6 ounces, [     ], https://www.amazon.com/Casabella-Extendable-Microfiber-Filament-Graphite/dp/B0105WLWJU/ref=sr_1_203?dchild=1&keywords=orange+filament&qid=1593651244&s=industrial&sr=1-203
CC3D, SILK SILVER OR SILVER GOLD OR SILK COPPER, PLA, 1.10 pounds, 1.75 millimeters, https://www.amazon.com/SILVER-PLA1-75-printer-filament-feeling/dp/B072KZXL7J/ref=sr_1_205?dchild=1&keywords=orange+filament&qid=1593651244&s=industrial&sr=1-205
[     ], [     ], PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/PRINTSPIRE-Printer-Filament-Dimensional-Accuracy/dp/B07DVPPBMB/ref=sr_1_206?dchild=1&keywords=orange+filament&qid=1593651244&s=industrial&sr=1-206
Gizmo Dorks, [     ], PLA, 2.70 pounds, 2.85 millimeters, https://www.amazon.com/Gizmo-Dorks-Filament-Printers-2-85mm/dp/B074VP8QKR/ref=sr_1_209?dchild=1&keywords=orange+filament&qid=1593651244&s=industrial&sr=1-209
MIKA3D, 32 COLORS: 4 METALLIC COLORS, 10 TRANSPARENT COLORS AND 18 POPULAR SOLID COLORS, PLA, 10.6 ounces, 1.75 millimeters, https://www.amazon.com/Colors-Filament-Refills-Finger-Mika3D/dp/B07B6VY719/ref=sr_1_211?dchild=1&keywords=orange+filament&qid=1593651244&s=industrial&sr=1-211
eSUN, LIGHT BLUE, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/eSUN-1-75mm-Printer-Filament-2-2lbs/dp/B01EKEMN9W/ref=sr_1_212?dchild=1&keywords=orange+filament&qid=1593651244&s=industrial&sr=1-212
Twotrees, TRANSPARENT, ABS, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/Twotrees-Filament-Dimensional-Accuracy-Printer/dp/B07PR38Y67/ref=sr_1_213?dchild=1&keywords=orange+filament&qid=1593651244&s=industrial&sr=1-213
Paramount 3D, [     ], [     ], [     ], [     ], https://www.amazon.com/Paramount-3D-Yellow-Filament-SYRL1003137C/dp/B01N061P8X/ref=sr_1_215?dchild=1&keywords=orange+filament&qid=1593651244&s=industrial&sr=1-215
HATCHBOX, [     ], WOOD, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/HATCHBOX-3D-Filament-Dimensional-Accuracy/dp/B01092XXD4/ref=sr_1_219?dchild=1&keywords=orange+filament&qid=1593651244&s=industrial&sr=1-219
[     ], [     ], [     ], [     ], [     ], https://www.amazon.com/s?k=orange+filament&i=industrial&rh=n%3A16310091&page=10&qid=1593651268&ref=sr_hi_1
SooFoo, [     ], CLEAR GLASS + STURDY FILAMENT + PREMIUM BRASS BASE, 7.2 ounces, [     ], https://www.amazon.com/Edison-Light-Vintage-Antique-Incandescent/dp/B01I3XGIFQ/ref=sr_1_219?dchild=1&keywords=orange+filament&qid=1593651245&s=industrial&sr=1-219
SainSmart, MANGO MOJITO, TPU, [     ], 1.75 millimeters, https://www.amazon.com/SAINSMART-Flexible-Printing-Filament-Dimensional/dp/B07VV2NH9P/ref=sr_1_222?dchild=1&keywords=orange+filament&qid=1593651245&s=industrial&sr=1-222
ERYONE, BLACK, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/Filament-1-75mm-ERYONE-Printing-Printer/dp/B07DN35CXQ/ref=sr_1_224?dchild=1&keywords=orange+filament&qid=1593651245&s=industrial&sr=1-224
SYLVANIA, GREEN, GLASS, 1.83 ounces, [     ], https://www.amazon.com/Sylvania-40303-Filament-Decorative-Lighting/dp/B07M8SNQ3W/ref=sr_1_225?dchild=1&keywords=orange+filament&qid=1593651245&s=industrial&sr=1-225
XVICO, MULTICOLORED, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/XVICO-Filaments-Rainbow-Printer-Filament/dp/B07YCS2MK3/ref=sr_1_228?dchild=1&keywords=orange+filament&qid=1593651245&s=industrial&sr=1-228
eSUN, SOLID OPAQUE BLUE, PETG (POLYETHYLENE TEREPHTALATE GLYCOL-MODIFIED), 2.20 pounds, 1.75 millimeters, https://www.amazon.com/eSUN-1-75mm-Printer-Filament-2-2lbs/dp/B01LMDFYVS/ref=sr_1_229?dchild=1&keywords=orange+filament&qid=1593651245&s=industrial&sr=1-229
TIGTAK, GREY+WHITE+BLACK, PLA, [     ], 1.75 millimeters, https://www.amazon.com/Printer-Filament-PLA-1-75mm-Environmentally/dp/B084GQS7NW/ref=sr_1_230?dchild=1&keywords=orange+filament&qid=1593651245&s=industrial&sr=1-230
